name,type
National Highway,ORG
The Maha Krishi Urja Abhiyan,PERSON
Jitendra Kumar,PERSON
Saraswathi,ORG
Edhara,GPE
S Ramachandran Pillai,PERSON
Varinderpal Singh,PERSON
Shelke’s,ORG
Sandeep S. Barely,PERSON
Visakha Agency,ORG
Ekta Ugrahan,PERSON
Sindri,GPE
Bhattu,GPE
Naidu,ORG
Bibipur,ORG
Nagappattinam,GPE
Noted Sufi,ORG
Makdoli,GPE
Sellur K Raju,ORG
Pilibhit,GPE
rang hollow,PERSON
Itagi,ORG
Raman Nayka,PERSON
Majura,ORG
Dumas,PERSON
Radadiya,ORG
Telangana Domestic Workers Union,ORG
Hanuman Beniwal,PERSON
Centre for Agricultural,ORG
K Laxman,PERSON
Matgua,GPE
Kulathupalayam,ORG
Delhi Police PRO Chinmoy Biswal,ORG
Atul Singh,PERSON
Swatantra Dev,PERSON
Mahesh Prabhu,PERSON
Nutmeg,PERSON
Nashik,GPE
Lata Gaonkar,PERSON
the Centre for a resolution,ORG
Paddhar,GPE
Katol,ORG
Sanjeev Baliyan,PERSON
Maharashtra Congress,ORG
"Thiruvanvandoor, Puliyoor",ORG
Arya Rajendran,PERSON
Lucknow Police,ORG
Naveen Mahajan,PERSON
DV Sadananda Gowda,PERSON
Kisan Yojna,ORG
Paparajupallem,GPE
Uttar Pradesh State Road Transport Corporation,ORG
Northern Arc Capital,ORG
Tomato,PERSON
Ranjit Singh,PERSON
Kompally,GPE
Kalva Chwok,ORG
kisana,ORG
Nizamuddin,PERSON
Sohalal,PERSON
Lalgarh,GPE
BV Krishna Rao,PERSON
Inter-State Bus Terminals,ORG
Sanyukt Kisan Morcha,ORG
Rajya Kisan Sangharsh,PERSON
Vaghasiya,PERSON
Onam,ORG
Gurcharan Singh,PERSON
Ram,PERSON
RO-Jaipur,ORG
Swamimalai R Vimalnathan,PERSON
Wildlife Institute of India,ORG
P Shanmugam,ORG
Saoner,PERSON
All India Kisan Congress,ORG
The Nel Jayaraman Centre,ORG
Bauri,GPE
Kajal Aggarwal,PERSON
Maharashtra and Goa,GPE
the South Eastern Railways,ORG
the Karnataka Agriculture Department's,ORG
Khalsa Aid,PERSON
Bharatiya Kisan Union Rakesh,ORG
L Srinivas,PERSON
Jurala,GPE
Lakshmi,ORG
the Aurangabad Municipal Corporation,ORG
Gagandeep Singh Bedi,ORG
the Punjab Pollution Control Board,ORG
Dwar,PERSON
Kahalgaon,GPE
Oriental Bank of Commerce,ORG
Kalariya,PERSON
Sangha,GPE
Phulwarisharif MLA Gopal Ravidas,PERSON
Kisan Diwas,PERSON
Rajan Jawal,PERSON
Vijay Wadettiwar,PERSON
Uttar Pradesh's,ORG
Vikray Sahakari,PERSON
Front Punjab,PERSON
the ‘Meri Fasal Mera Byora,ORG
Modi Ground,ORG
Leeds,GPE
Ninder,ORG
"T Pettai, Pullambadi",ORG
The Federation of All India Farmers Associations,ORG
Thiruvananthapuram,ORG
District Broiler Poultry Farmers Association,ORG
Rani Laxmibai Central Agricultural University,ORG
Chandresh Sojitra,PERSON
Oxford University Press,ORG
Chandigarh of the National Highway Authority of India,ORG
FAW,ORG
Udaipur’s Vallabh Nagar,ORG
the Kisan Sabha,PERSON
Manish Panda,PERSON
Poonam,GPE
Shirpur,PERSON
Deewan Public School,ORG
Artificial Intelligence and Data Science and Biomedical Engineering,ORG
Jashandeep Singh,PERSON
Nagendra Singh,ORG
M Shanmugam,PERSON
Roop Kishore,PERSON
Cambodia,GPE
Srimathi Devi,PERSON
Gupta,PERSON
Paramjit’s,ORG
Andhra Pr,PERSON
China,GPE
JAIPUR/NEW DELHI,ORG
SBCC,ORG
"Mayem,",ORG
girdawaris,PERSON
Farm Advisory Service Scheme,ORG
Pentonville,GPE
MK Stalin,PERSON
Iqbal,ORG
Seva Kendra,PERSON
Kurdi,ORG
Jivraj Patel,PERSON
Sukhveer Singh,PERSON
Sudhir Kerkar,PERSON
Gangdaspur,GPE
Jal Jeevan Mission,PERSON
Yogi He,PERSON
Budaun,ORG
Kudalasangama Cross,ORG
Navreet,GPE
Maharashtra in the Gultekdi Market Yard,ORG
Rathasaptami,PERSON
Sikanderguda,ORG
Daulatpur-Jaipur Express,ORG
Jahanabad,ORG
Mariahu,ORG
Vitamin B,PERSON
Linganna,GPE
Lunya,PERSON
Naveen Patnaik,PERSON
Manpreet,GPE
Amit Mitra,PERSON
Lata,GPE
Meo Panchayat,PERSON
Sartoli,GPE
Khandare,PERSON
The Velliangiri Uzhavan Producer Company Limited,ORG
Manapparai,GPE
Vikram Singla,PERSON
Haryana’s,ORG
Ramu Colony,PERSON
Shahu Maharaj,PERSON
Patel Chowk,PERSON
MLA Manda Mhatre,PERSON
Haryana Gramin Bank,ORG
Bhankrota,GPE
Patgir,GPE
Vasundhara Jan Rasoi,ORG
City Vista,GPE
ST Somashekar,PERSON
Bhag Singh,ORG
Leema Paul,PERSON
Sangh Parivar,ORG
Mehra,ORG
Tadpatri,PERSON
Kannukkudi West,ORG
B.C. Patil,PERSON
Akola,ORG
Pandhare,PERSON
Asansol,GPE
Sukhdarshan Natt,PERSON
Zonal Agricultural Research Station,ORG
Gurdaspur,GPE
Buggana Rajendranath Reddy,PERSON
Philippines,GPE
Badi Chaupad,GPE
Ellanabad,ORG
Vinay,PERSON
Maharashtra-,ORG
repressi,ORG
Electrical Engineering,ORG
Chakar,ORG
Je kisana de virudh,PERSON
Banaskantha,ORG
Gurpreet Singh Kangar,PERSON
The Maharashtra Rail Infrastructure Development Corporation Limited,ORG
Farmer Sheeshpal,PERSON
Burdwan,GPE
J P Chaudhary,ORG
Kundu,PERSON
Semra,GPE
the state municipal administration,ORG
Chedi Lal Prasad,PERSON
K Venkataiah,ORG
Land Acquisition Act,ORG
Dudh Utpadak Shetkari Sangharsh Samiti,ORG
Mukta Gupta,PERSON
Manki,GPE
Kirpal Singh Siau,PERSON
Waddhamna,PERSON
Lalitpur,PERSON
Savadhi,ORG
Vellapallam,GPE
Nakodar Chowk,PERSON
the Dialogue and Development Commission,ORG
Priti Mishrikotkar,PERSON
Devi Nagar,PERSON
Vala,PERSON
Ashika,PERSON
Virendra Singh Sindhu,PERSON
Sylendra Babu,PERSON
Bandhu Samiti,PERSON
Rajulu,ORG
MLA Sampatrao Pawar,PERSON
Dubai,GPE
respectâ¤ï¸â¤ï¸,PERSON
Trichy city,GPE
Govind Singh,PERSON
Saroj Poddar,PERSON
Ahmednagar,ORG
Thalavadi,ORG
SHO Ram Sevak,ORG
Barwala-Raipur Rani,GPE
Kaithamukku,ORG
Laabh Singh,GPE
The Noida Authority,ORG
Binder,PERSON
Kalewada,ORG
Mahbubabad,PERSON
National Chambal Sanctuary,ORG
Phulwarisharif,ORG
"Yamunanagar, Panchkula",GPE
Iglas,GPE
K Rajamani,PERSON
New Delhi-Moga Express,GPE
the APMC Yard,ORG
Cheyur,GPE
Sunil,GPE
Mathesh,ORG
V P Singh Badnore,PERSON
Anil Vij,PERSON
Sanjeev Hans,PERSON
DRO Vasu Chandra,ORG
Junagadh Agriculture University,ORG
Bhavik Chiwande,PERSON
Shaikir Baig,GPE
Mandvi,ORG
Sabarkantha,ORG
V Sowmiya,PERSON
MS Swaminathan commission,ORG
Pravesh Devi,PERSON
Kisan Sabha’s,PERSON
Mannachanallur,GPE
Nagpur Rs 18,PERSON
SP Syed Imran Masood,ORG
IBF,ORG
Varnama,GPE
Ashok Chandaragi,PERSON
Kisan Seva Sahkari Samitis,PERSON
Module II,ORG
DAP,ORG
Progressive Teachers’ Association,ORG
Nagri village,GPE
Rachakuntapalle,PERSON
Mohammadwadi,GPE
Gurjar,GPE
Vallabh Patoliya,PERSON
RTC,ORG
NB Meshram,ORG
SG Rao,PERSON
Chhindwara,GPE
SHO Pankaj Kumar,PERSON
Anant Kulkarni,ORG
the Tamil Nadu Vivasayigal Sangams,ORG
Indira Colony,PERSON
Vadgaon Maval,ORG
Manjinder Singh Sirsa,PERSON
Rakesh,ORG
the Manappuram Constructions,ORG
Ashok Gehlot,ORG
Shrimangala,GPE
Chaitanya Mandlik,PERSON
Khotode,PERSON
Farmer Harkesh Singh,PERSON
the Mahatma Gandhi National Rural Employment Guarantee Act,ORG
Sankheda,ORG
the Antim Ardas,PERSON
Sahu,PERSON
Charwa,PERSON
Animal Farm ',ORG
Arimalam,GPE
Shravan Ingale,PERSON
Kalvarayan,GPE
Nanjundapuram Pirivu,ORG
Santosh Gandhi,PERSON
Nagpur Jamat Shaikh Shabbir Fidvi,ORG
The Kirti Kisan Union,ORG
Loharwa,PERSON
Varinder Kumar,PERSON
Barmer Virendra Singh Solanki,PERSON
Nashikites,ORG
juttian pai rhia,PERSON
Kamlesh,PERSON
Vaibhavi,ORG
Amitkumar,PERSON
Nuvem,PERSON
Manesar in Gurugram,ORG
Shivdaspura,ORG
PM Modi’s,ORG
Ramalingam,PERSON
BKU Azad Singh Palwan,PERSON
Jainpur,PERSON
Agriculture Colloquium,ORG
Bulbul,GPE
the Union health ministry,ORG
All Kerala Pineapple Farmers’,ORG
Manmohan Singh,GPE
Dholana,ORG
Robert Vadra,PERSON
Vangapally,ORG
Nidhi,PERSON
Almeida,GPE
Detroit,GPE
Namami Gange,ORG
Shiva Sai Decorators,PERSON
Atchampet,ORG
the Northern Black Soils,ORG
National Sugar Institute,ORG
Ziltawadi,GPE
Srinivasan,ORG
the Graded Response Action Plan,ORG
Kamgar Union,PERSON
Murugan,GPE
Santosh Kumar Singh,PERSON
Kasaragod,PERSON
Ramopur,GPE
Bharathi,ORG
Akshay Lakra,PERSON
Swamimalai S Vimalnathan,ORG
the Jharkhand Bijli Vitran Nigam Limited,ORG
Gandak,GPE
551st,PERSON
Gadag,ORG
Jothimani,PERSON
Cyclone Amphan,PERSON
the Krishnaraja Sagar,ORG
Aditya Dubey,PERSON
Manju,PERSON
K Lokanadham,PERSON
Salman Khan,PERSON
Greater Chennai Corporation,ORG
Vellar,ORG
Shailesh,PERSON
Jammula Venkayamma,PERSON
ITO,ORG
jaivik kheti,PERSON
Mathura’s Naujheel,ORG
Puliyur Nagarajan,ORG
East Midnapore,GPE
Sahara,GPE
All India Kisan Mazdoor Sangharsh,ORG
Gordhan Zadafiya,PERSON
Alanganallur,GPE
Punjab Kisan Morcha,PERSON
the Rajendra Institute of Medical Sciences,ORG
Vilas Shinde,PERSON
S Raja Singh,PERSON
Bijnor to Ballia,ORG
Alpha,GPE
Sanguem,PERSON
Bareilly-Haridwar,ORG
Jaridih,PERSON
NPAs,GPE
Vidyut Soudha,ORG
Kulithalai,GPE
Kudaje,GPE
Asfaq Shaikh,PERSON
Abhay Sharing,PERSON
Pal Singh Chandumajra,ORG
the Archaeological Survey of India ( ASI,ORG
the Centre in Parliament,ORG
Kumar Pathak,PERSON
Durai Chandrasekaran,PERSON
Araku,GPE
Farmers Forum of India G S Ganapathi,ORG
Haridwar,GPE
The Confederation of Indian Farmers Association,ORG
Athanur,GPE
Jackie Shroff,PERSON
Raj Kumar Tomar,PERSON
Baba Mastnath University,ORG
Nishant Yadav,PERSON
Kisan Sangharsha Samanway Samiti,PERSON
Satish Poonia,GPE
Jim Costa,PERSON
Jittu Singh,PERSON
Bharat,ORG
Radhanagari,GPE
Abdul Sattar,PERSON
the Indira Kranthi Patham,ORG
Kasba,GPE
Dhanarua,PERSON
Canacona MLA,PERSON
RB Kaul,PERSON
Saidpur,PERSON
Mahadev Rakhmaji Netake,ORG
Sengamalakannan,GPE
Gondal,ORG
Indian Penal Code,ORG
Krishi,PERSON
Aurangabad/Kolhapur:,ORG
Guntur Sannalu,GPE
Kulwinder,ORG
Gurinder Mohan Singh,PERSON
Uttar Pradesh State Construction Corporation Limited,ORG
Farmer Producer Organisations,ORG
Chouh,ORG
Vijyendra Singh,PERSON
U-18,ORG
KLIP,ORG
Harish Uthaman,PERSON
BKU Ugrahan,PERSON
Innova,PERSON
the Agriculture Produce Market Committee,ORG
CCF,ORG
Khitora,GPE
Suraj Kushwaha,ORG
R Kamaraj,PERSON
Ponnusamy,ORG
Assandh-Karnal,ORG
Pothencode,GPE
Sayunkt Kisan Morcha,PERSON
Ambajipeta,PERSON
Sangeetha Patil,PERSON
general house meeting,ORG
The Telangana Rashtra Samithi,ORG
Nove,ORG
Uttar Pradesh Special Task Force,ORG
Gultekdi,ORG
agricultural technical staff association,ORG
cane development,PERSON
Jagtial SP Ch Sindhu Sharma,ORG
Freedom Park,GPE
Balkrushna Kadam,PERSON
Raman Kumar,PERSON
Sushant Singh Rajput 's,PERSON
Uttar Pradesh,ORG
Chandsar,GPE
Vivek Johri,PERSON
the Centre for Innovation in Science and Social Action,ORG
the avian influenza (bird flu,ORG
Narsaiah,PERSON
MSRTC,ORG
Haibowal,GPE
Banginapalli,PERSON
Srinivasa Rao,PERSON
Bijendra Singh,PERSON
North Ambazari,GPE
Kulkarni,GPE
Shri Shivaji Education Society,ORG
Kissan Sanman Nidhi,PERSON
Mamata Banerjee’s Trinamool Congress,ORG
Praveen Bansal,PERSON
Seeranaickenpalayam,PERSON
Krishna Kanta Bora,PERSON
Sagun Dalvi,PERSON
Vandanmedu Cardamom Growers’ Association,ORG
Bacchu Kadu-,PERSON
Thudiyalur,ORG
Sachin Gupta,PERSON
Zinda Hai ',PERSON
Housing Board Haryana,ORG
Sivaganga,GPE
Rocky,GPE
Mehal Kalan,ORG
the Shiromani Akali Dal,ORG
kisan morcha,PERSON
National Company Law Tribunal,ORG
Yavatmal,PERSON
Gazipur,GPE
Injured Bawan,PERSON
Sudhir Singla,PERSON
Aravind Raju’s,PERSON
Yono Krishi,PERSON
Chandra Bhan Singh,PERSON
Karkala,PERSON
Jalka,GPE
Pramod Hinge,PERSON
Azad Singh Palwa,PERSON
the Tamil Nadu Protection of Interest of Depositors,ORG
Mahendra Soni,PERSON
Raigaon,PERSON
Neha Madaan,PERSON
Nee Ajanthey,PERSON
MCG,ORG
Darbhanga Medical College and Hospital,ORG
ICE,ORG
Akali Dal,ORG
Shirish Boralkar,PERSON
"Koleabandh, Mahalwada",ORG
Crime Investigation Department,ORG
MGR,PERSON
Centre of Indian Trade Union,ORG
Jetalpur,GPE
Kishangarh,GPE
Organic India Private Ltd,ORG
Chhota Udepur,PERSON
Shrinivas Bhar,PERSON
Rakesh Bhatnagar,PERSON
Amar Jawan Jyoti,PERSON
Sakir,PERSON
Vinayaka,ORG
CM Arvin,PERSON
Darjeeling,GPE
Hanumesh Nayak,PERSON
Mahindra Bolero,GPE
Singhu,ORG
Ajay Daronch,PERSON
the Karnataka Land Reforms Act,ORG
Karam Chand,PERSON
Thakarsinh Kumbhani,PERSON
agriculture V Dhakshinamoorthy,ORG
Farooqnagar,GPE
GVK Bio,ORG
Gurnam Singh Chaduni,PERSON
Modasa,GPE
Mattili,PERSON
Sawai Madhopur,GPE
Gangadhar,PERSON
Vasava,ORG
BATHINDA/AMRITSAR,ORG
Gurjeet Singh,PERSON
WWF,ORG
Gadhiya,GPE
the All India Farmers’ Protest Coordination Committee,ORG
CI Sajid Ali,PERSON
bas mehnat,PERSON
Mohammed Alliuddin,PERSON
Baljeet,ORG
Chittur Cooperative Sugars Ltd,ORG
Charanjit Singh Channi,PERSON
Chinta Devi,PERSON
Safdarjung Hospital,ORG
NSTGFDS H N Sivan,ORG
Pundalik Raikar,PERSON
KV,ORG
Siddlaghatta,GPE
Karveer,GPE
Rudrapur,GPE
Sarang Awad,PERSON
Sachin Pawar,PERSON
Kagdadi,GPE
Krishnath Patil,PERSON
Majhola,GPE
Raikot Mahila Congress,ORG
Netaji Subhash,ORG
BKU Dakonda,ORG
Chorodia,GPE
Rs Rs 1,PERSON
Puliyarasi,GPE
Fasale,PERSON
Dheeraj Latian,PERSON
Malusare,ORG
Tushar Bhandari,PERSON
Gokulraj,GPE
Nitin Gad,PERSON
Jaiprakash,PERSON
district collector,ORG
Mathura-Radhakund,ORG
Loknayak,GPE
Akash Khurade,ORG
BAO,ORG
Land Acquisition,ORG
the Bareilly-Haridwar,ORG
SHO Birja Ram,PERSON
Bawal Khap Panchayat,ORG
Paristhitiki Vikas Sansthan,ORG
Cauvery S Dhanapalan,PERSON
The Federation of All India Farmer Associations,ORG
Chunala,PERSON
Yudhishter Singh,PERSON
Ranganatha Swamy,ORG
Nirala Nagar,ORG
Naththu Telrandhe,PERSON
Nurmahal,ORG
Sachin,GPE
Lalitha,PERSON
the Agriculture Produce Market Committees,ORG
J V Akshatha,PERSON
Banda-Chitrakoot,ORG
Mahindra Finance,ORG
Super SMS,ORG
K Chandrasekhar Rao,PERSON
Deve Gowda,PERSON
Gudemadanahalli,PERSON
Biman Bose,PERSON
Old Goa,PERSON
Nehru Award,PERSON
Sam Welfare,PERSON
M K Stalin,PERSON
Nalikkalpatty,PERSON
GSHCL,ORG
Maharashtra Electricity Regulatory Commission,ORG
Kathiramangalam,GPE
Juhu,PERSON
Megawatts,ORG
Punjab Ravneet Bittu,PERSON
Deependra Kumar,PERSON
Baluheda,GPE
Haresh,PERSON
B S Koshyari,PERSON
Prasoon Kashyap,PERSON
Babu Rao,PERSON
Ramgarh,GPE
Kerala Minerals (Vesting of Rights) Ordinance,ORG
Shyamji Patel,PERSON
FPTC,ORG
Jairam Ramesh,PERSON
Sonu Sood’s,PERSON
Sonu Vijay Bhavar,PERSON
Rampur-Aonla,PERSON
Sanjiv Vashisht,PERSON
Dan Singh,PERSON
Derabassi,GPE
MW,ORG
Khambhaliya,ORG
William Konda,PERSON
SG Siddaramaiah,PERSON
Datta Bhalerao,PERSON
Guru Teg Bahadur,PERSON
Chamaria,GPE
Nivrutti Nyaharkar,PERSON
Priyanka Gandhi,PERSON
Ritu Raj,ORG
Geetanjali,ORG
Rajendra Desai,PERSON
Vikas Chaudhary,PERSON
Maigalganj,GPE
V M V M Chaudhary,PERSON
Ishtaq Qureshi,PERSON
A J Bhambhani,PERSON
JE,ORG
Salasar,PERSON
the Citizenship (Amendment) Act,ORG
Megharaj,PERSON
Tatlavat Lakshman,ORG
Congress Jharkhand,PERSON
the Union ministry of earth sciences,ORG
Akkaraisengampalli,PERSON
Liluram,ORG
Gangapur,GPE
Talala,GPE
the ministry of agriculture and farmers welfare,ORG
Zaveri,PERSON
CGM,ORG
Srinivasulu,PERSON
Sudhilkumar Shinde,PERSON
Vandanmedu,ORG
Automatic Weather Stations,ORG
Sareesh,PERSON
Chennai Super Kings,PERSON
Pal Singh,PERSON
Critically Vulnerable Coastal Area,ORG
Bharti Kisan Union,PERSON
Chola,ORG
Manish Verma,PERSON
the Information and Technology Act,ORG
Godhra,PERSON
Vijay Sethupathi ’s Laabam,PERSON
Gujarati,GPE
Gohil,ORG
Khutade,PERSON
kisan ko phansi’,PERSON
kharif p,ORG
Kundaraki,PERSON
the Army Southern Command,ORG
Sube Singh,PERSON
Vaibhav Agrawal,PERSON
Haveri,GPE
Shyamu Shukla,PERSON
Manappuram Constructions and Properties Limited,ORG
Malladi Vishnu,PERSON
Universe,PERSON
K Vijayakarthikeyan,PERSON
Kailash Gahlot,ORG
Kolhapur,PERSON
Harsimran,PERSON
Banke Dayal,ORG
Indira Gandhi Stadium,ORG
The Kolhapur Municipal Corporation,ORG
The Indian Newspaper Society,ORG
Santosh Rathod,ORG
the National Disaster Response Fund,ORG
Yashendra Singh,PERSON
Hisar BJP MP Briejdnra Singh,ORG
Sachin Pilot,ORG
Kundaura,GPE
IRTS,ORG
National Research,ORG
Jagar Singh Bajwa,PERSON
752/6,ORG
Faridabad,GPE
the IP Police Station,ORG
Nayachar,GPE
Polytechnic,ORG
Tadepalli,GPE
Akshardham Mandir,PERSON
JVVNL,PERSON
YSR Palnadu,ORG
MA,PERSON
Paota,PERSON
the Techton Buildcons Pvt Ltd,ORG
the Tamil Nadu Textbooks and Educational Services Corporation,ORG
CARE,ORG
Nama Nageshwara,PERSON
Bareilly,PERSON
Sachin Gadekar,PERSON
Thakre,ORG
Farukkhabad,GPE
Tanchai,GPE
Belgada,GPE
Anuj Kumar,PERSON
Chhapar,ORG
"Lothpur, Bhakodar",ORG
Yeotkar,ORG
Jogi,PERSON
Chhattarpur,GPE
Raj Bhawan,PERSON
Chidanand,PERSON
IAF,ORG
Ladanu,GPE
Sivaramakrishnan,PERSON
ML Sahu,PERSON
Swami Yatishwaranand,PERSON
Bhola,GPE
Narendra Wadavane,PERSON
VS Sunil,PERSON
Vardhan Singh,PERSON
Krishi Bhumi,PERSON
Un,ORG
APMC committee,ORG
Nakul Nath,PERSON
Noyyal,PERSON
Turmeric Board,ORG
Kolkata Police,ORG
zameer hai,PERSON
Ashti,PERSON
the Eastern Bihar Industries Association,ORG
Devlali,PERSON
Punjab ’s Rupnagar,ORG
Shekhar Bharti,PERSON
Biharsharif,PERSON
Bristol,GPE
Santosh Desai,PERSON
Vaigaon – Chandankheda Road,ORG
Amar Habib,PERSON
Milma,GPE
Paladia,ORG
the agriculture department of the district,ORG
the Telangana Agricultural Land Conversion for Non-Agricultural Purposes Bill-2020,ORG
the avian influenza scare,ORG
Kute,PERSON
DMU,ORG
AIADMK,ORG
Sena MLA,PERSON
G S Mathesh,ORG
Guja,PERSON
Bhim,ORG
Shahabad,PERSON
Sullia,GPE
Sonu Sood,PERSON
Bhupendra,PERSON
Gadarpur,PERSON
Swami Yatishwarand,PERSON
M K Jain,PERSON
Shaheed Udham Singh Chowk,ORG
Ankit Pawar,PERSON
NDA,ORG
Patna,GPE
Shanmugi KS,PERSON
Himalayan,PERSON
Nachna,GPE
Narender Modi,PERSON
Kanwar Pal,PERSON
"the National Institute of Oceanography, Goa",ORG
The Badarpur MLA,ORG
Washington,GPE
Odanchathiram,GPE
Tiruvaur,GPE
Kalavad,PERSON
Theneerpatti,ORG
BKU-Haryana,ORG
the East India Company,ORG
Sajla,PERSON
Palla,ORG
Surendri Devi,PERSON
Teka Naka,PERSON
Chimaji Sarde,PERSON
Gurkirat Singh Kotli,PERSON
All Farmers Organisations Coordination Committee,ORG
Lingapur,GPE
Shamanur,GPE
Dr K Ponnuswamy,PERSON
Vijyendra Pandian,PERSON
Ujjwala,GPE
Avinash Rai Khanna,PERSON
Agricultural Produce Market Committee,ORG
Chamarajanagar – Hanur,ORG
the ‘ Krishigramam of Poovachal,ORG
Baidyanath Square,PERSON
Workers’ Party,ORG
The Small Farmers’ Agribusiness Consortium,ORG
Eknora,PERSON
Vilangadu,PERSON
TRICHY/MADURAI,ORG
Gharuan,PERSON
Dilip Rath,PERSON
Bhartiya Kisan Union-Ekta,ORG
Kiran Dhankute,ORG
Dhirendra Pal Singh,PERSON
Auchandi,GPE
Mandlewala,PERSON
Sanjay Barde,PERSON
Santhanakrishnan,PERSON
Reasonable Enterprises Pvt Ltd,ORG
Krishna Ghosh,PERSON
Milind Kamble,PERSON
Komarada,GPE
Bhavana Gawali,PERSON
Talakadu,ORG
Mundgod,GPE
FarmersNotOnSale,GPE
Lehra,PERSON
Abhijit Choudhary,PERSON
Kottoor,PERSON
Kota,PERSON
the Civil Supplies Corporation,ORG
East India Company,ORG
Naresh Dinod,PERSON
Mysore,GPE
Satyendar Jain,PERSON
SN Jha,ORG
the Archaeological Survey,ORG
GSDMA,ORG
Mananchira,GPE
Dighal,ORG
Matsyakrishi,GPE
O P Dhankar,PERSON
T R Kesavan,PERSON
Delhi-NCR,ORG
Rudra-Bilas,ORG
Gandra Venkata,PERSON
Jayant Chaudhry,PERSON
Narkhed,GPE
Maharashtra Onion Growers’ Association,ORG
Puran Rajwar,PERSON
"Rayachur, Mandya,",ORG
Nandiyar Head,PERSON
the Punjab Raj Bhawan,ORG
Union earth ministry’s,ORG
Kannankurichi,GPE
Pillu Khera,GPE
Vaishali Nagar,ORG
Gurpreet Singh Rummy,PERSON
LLR,ORG
Pakur,ORG
Bhajpa de Naal,PERSON
FDI,ORG
Suresh Khanna,PERSON
RedNotice,ORG
Hemant Sikka,PERSON
the Maharashtra Vikas Aghadi,ORG
poachers--,ORG
Sanjay Tripathi,PERSON
Sonu Chaudhary,PERSON
BBB,ORG
Madan,PERSON
Ghaziabad ADM,ORG
Delhi-Jaipur National Highway,ORG
BKS,ORG
Ramnath Kovind,PERSON
Karjat,GPE
Dr Wazahat,PERSON
Southwest Rajasthan,GPE
Huduguru,GPE
Rajendra Singh,PERSON
Devarayampalayam,GPE
Khargua,GPE
Nyaz Ahmad,PERSON
Sah,PERSON
Nagana,PERSON
Minapur,ORG
Raipur,GPE
Dependra Pathak,PERSON
Galgibaga,GPE
Karur 04324-255100,PERSON
Tur,PERSON
Meera Gujarati,PERSON
Hemant Bhai Goyal,PERSON
Bamrauli,PERSON
Nagapatttinam,GPE
Raveendran,PERSON
Khed,PERSON
Bhagur,GPE
jewel,PERSON
Strategic Road,ORG
Anekal,GPE
Assonora,ORG
Ashish Mishra,PERSON
Cochin Cancer Research Centre,ORG
Mahamaya,PERSON
Chimur RFO Bhavik Chiwande,ORG
"Pune, Shiv Sena",ORG
Devinagar,GPE
Bajna,GPE
Bhagu,ORG
Gutte,PERSON
CM Chouhan,PERSON
Farmer Nagaraj Daivajna,PERSON
Nettoor,ORG
P Solanki,ORG
Arish Kadar,PERSON
Gurjeet Singh Dhillon,PERSON
G Kishan Reddy,ORG
Pete Davidson,PERSON
Grihasth,GPE
Power Corporation,ORG
NA,ORG
Mohanambalpuram,ORG
Tea Board of India,ORG
Madhurawada,GPE
Raj Kumar Chahar,PERSON
Thirumayila,ORG
Binod Singh,PERSON
Muthu Murugan,PERSON
Siddharth,PERSON
Hayer,PERSON
B Sriramulu,PERSON
Kumar Yadav,PERSON
Sri Muktsar Sahib,ORG
Sathyanarayana,ORG
Barisha Club,ORG
Jignesh Baraiya,PERSON
Nana Barman,PERSON
Rajapalayam,ORG
Yadaiah,GPE
Hatkanangle,ORG
the Madikeri-Mysuru-Mandya-Bengaluru,ORG
B Y Srinivas,PERSON
the State Law Commission,ORG
Baldev,PERSON
PMPML,ORG
Ughaiti,GPE
Samman Rashi,PERSON
CCL,ORG
Lasalgaon,ORG
Hans Raj Hans,PERSON
Hanuman Prasad,PERSON
Mandi Kalan,PERSON
KMP Expressway,ORG
Brinjal,PERSON
Begusarai,GPE
Amarinder,ORG
ITBP,ORG
Harisingh,PERSON
tota bana,ORG
Khamaria Patti-Puranpur,PERSON
Takht Damdama Sahib,ORG
Sourav Mondal,PERSON
Modi,GPE
KDCCB,ORG
Baglan,PERSON
Ekstambh Chowk,PERSON
Hescom,ORG
Gedabadi,GPE
Manitha Valar,PERSON
Vijay Bahadur,PERSON
Abhinav,PERSON
Kolhapur : Citizens,PERSON
Jitu Bhil,PERSON
Mayanur,GPE
Transgender,ORG
Basti Jodhewal,ORG
Nampur,GPE
Punjab Congress,ORG
Madwa,ORG
Rattan Singh,PERSON
Sai Girdhar,PERSON
AIAWU,ORG
NIHSAD,ORG
Haryana’s Karnal for Singhu,ORG
the Registrar of Cooperative Societies,ORG
matured paddy,PERSON
Tamil Nadu Cauvery Delta Farmers’ Welfare Association,PERSON
Ayush Sinha,PERSON
the Punjab Regional and Town Planning and Development Board,ORG
SOG,ORG
Khara,GPE
Mallika,PERSON
Nikhil Dwivedi,PERSON
Vanamati,PERSON
Chaubepur,GPE
Shivadwaj,PERSON
Dahod,GPE
Tamil Nadu Vivasaigal Sangam,ORG
Tamil Nadu Farmers Associations,ORG
Nagaur,ORG
K Parthasarathi,ORG
Wanadongri,GPE
Jobat,PERSON
the Trinamool Kishan Morcha,ORG
Chandrakant Patil,PERSON
Vijay Shankar Pandey,PERSON
Adam Sapiya,PERSON
Nainital,GPE
Buggathanda,GPE
Dhanola,GPE
JAIPUR/AJMER:,ORG
Ganesh Wasake,ORG
the Mahila S,GPE
ED,PERSON
Golden Temple Mail and Paschim Express,ORG
Kovind,PERSON
Gundlupet,GPE
