id,entity,type,louv_community_weighted
7031,Achhe dina,PERSON,7031
7032,the Cauvery Neeravari Nigam Ltd,ORG,2763
7033,K Fran,PERSON,11194
7034,the Central Warehousing Corporation,ORG,8841
7035,Dastagiri,PERSON,6619
7036,Bamanbore,GPE,12381
7037,District Cooperative Bank,ORG,3644
7038,Maanawala,GPE,4688
7039,Sayunkta Kisan Morcha,ORG,4688
7040,Gurtek Singh Virk,PERSON,8841
7041,Satya Narayan Kunwar,PERSON,1561
7042,Ganesh Hingmire,PERSON,15549
7043,Dudu tehsil,GPE,8841
7044,Jhammat village,GPE,6266
7045,Renu Rao,PERSON,6619
7046,Somatane Phata,GPE,15549
7047,Guru Gobind Singh's,PERSON,4688
7048,Nangloi,GPE,4688
7049,Tundi,GPE,10780
7050,S Somasundaram,PERSON,215
7051,Jethsur Vala ’s,PERSON,12381
7052,the Food and Agriculture Organization,ORG,6266
7053,", Insram Ali",PERSON,15549
7054,Rayachoti,GPE,6619
7055,eSaNTA,ORG,4688
7056,Rajasthan Jat Mahasabha,ORG,8841
7057,Kovilpalayam,GPE,215
7058,DYFI,ORG,215
7059,Taiyaab,PERSON,1341
7060,Chandrashekhar Azad University,ORG,3644
7061,Roy,PERSON,1527
7062,Vadivelu,PERSON,215
7063,Baldev Singh Dillon,PERSON,4688
7064,Sarukkai village,GPE,215
7065,NIHSAD,ORG,15549
7066,P R Pandian,PERSON,215
7067,The Tamil Nadu Irrigated Agriculture Modernization Project,ORG,215
7068,Bedi,PERSON,8841
7069,Dushyant Dave,PERSON,1527
7070,Nellikolu Trust,ORG,215
7071,Parli,GPE,15549
7072,Sombir Singh Sangwan,PERSON,19072
7073,Ramlal Sharma,PERSON,8841
7074,Dhanda,PERSON,4688
7075,Borala,GPE,15549
7076,the Dudh Utpadak Shetkari Sanharsha Samiti,ORG,19072
7077,Pancha Raja,PERSON,215
7078,Dipen Agrawal,PERSON,13467
7079,All India farmers coordinating committee,ORG,4688
7080,FRP,ORG,15549
7081,Ashwini,PERSON,15549
7082,MS Swaminathan commission,ORG,215
7083,Narwana,GPE,4688
7084,Koramangala,GPE,215
7085,Kasbe-Sukene,GPE,15549
7086,Ch Sindhu Sharma,PERSON,18149
7087,Siddhartha Mahajan,DIR,4688
7088,National Oil Fed,ORG,18149
7089,Kalicharan Gangwar,PERSON,3644
7090,Hasanparthy,GPE,18149
7091,TANHODA,ORG,215
7092,Gurdeep,PERSON,937
7093,Agali grama panchayat,GPE,11194
7094,Krishi,PERSON,3160
7095,the Samyuk Kisan Morcha,ORG,4688
7096,"Maharashtra),Valsad",GPE,8841
7097,Mallaiah,PERSON,18149
7098,PMFBY,ORG,4688
7099,Arvinder Kaur,DIR,6266
7100,the Union council of ministers,ORG,4688
7101,Swabhimani Shetkari Sanghatna’s,ORG,8841
7102,the Tractors and Farm Equipment Limited,ORG,15549
7103,West Cheranallore,GPE,11194
7104,Bhuthalur,GPE,215
7105,CARI,ORG,3644
7106,Thondamuthur,PERSON,215
7107,Alok Singh,DIR,3644
7108,Goan,GPE,3160
7109,the All India Kisan Coordination Committee,ORG,4688
7110,PSG Polytechnic,ORG,215
7111,the Acharya N G Ranga Agriculture University,ORG,6619
7112,Ghudani,GPE,10780
7113,the South Goa Planning and Development Authority,ORG,7157
7114,Tikait,GPE,4688
7115,Santosh Thipe,PERSON,15549
7116,class VII,ORG,18149
7117,Hussainsagar,GPE,3534
7118,Shrawan Kumar,POL,10780
7119,Anand Agricultural University ’s,ORG,12381
7120,S Raju David,PERSON,18149
7121,Prasad Lad,PERSON,15549
7122,Paharganj,GPE,2219
7123,BWRC,ORG,12381
7124,Chawda,PERSON,12381
7125,Mitauli tehsil,GPE,3644
7126,Hyderaba,GPE,10780
7127,the Civil Hospital,ORG,12381
7128,Trichy P Asokan,PERSON,215
7129,the Reliance Group,ORG,4688
7130,Ramchandra Patel,PERSON,12381
7131,Hansot,GPE,12381
7132,Patanjali Bhat,PERSON,6266
7133,ISLAMABAD,GPE,8841
7134,Bharathiar University,ORG,215
7135,Sikh Gurdwara Prabandhak Committee,ORG,10780
7136,Robusta,GPE,11194
7137,AURANGABAD,GPE,15549
7138,Baldevhi Thakor,PERSON,12381
7139,the public works department (,ORG,215
7140,Aravindan Selvaraj,DIR,215
7141,Parner,GPE,15549
7142,Rajan,PERSON,3644
7143,Mohali Beopar Mandal,ORG,937
7144,Surjit Kumar Jayani,PERSON,4688
7145,Lok Biradari Prakalp,ORG,15549
7146,Pradeep Paliwal,PERSON,4688
7147,revi,PERSON,3644
7148,the Nagpur Improvement Trust,ORG,15549
7149,Pradhan ji,PERSON,4688
7150,", Muniraj G",PERSON,3644
7151,Injathotty,GPE,3644
7152,Wadvani,GPE,15549
7153,Nalanda Engicon Pvt Ltd.,ORG,10780
7154,Ramcharan Meena,PERSON,8841
7155,Manish Saini,PERSON,8841
7156,Lalit,PERSON,3644
7157,", Wilfred D’Sa",PERSON,7157
7158,Ranjeet,PERSON,12381
7159,an Industrial Training Institute,ORG,3160
7160,Ballia,GPE,3644
7161,Ashiyana Ismail Kalvatra,PERSON,12381
7162,Sarwan Dass,PERSON,4688
7163,Kawant taluka,GPE,12381
7164,Ramaram village,GPE,18149
7165,R Kajendra Pandian,PERSON,215
7166,Mullankolly,GPE,11194
7167,the Union,ORG,13467
7168,Ravi Deshpande,PERSON,15549
7169,Jogaram Sen,PERSON,12381
7170,Zora,PERSON,4688
7171,International Growth Centre,ORG,15549
7172,Damocles,PERSON,4688
7173,The Vyapari Mahasangh,ORG,15549
7174,LIT,ORG,4796
7175,Vathalai,GPE,215
7176,Bhaijaan,PERSON,2763
7177,Jangaliyahedi,GPE,6619
7178,Syed Imran Masood,PERSON,10780
7179,Sachin O Khairnar,PERSON,6266
7180,PAU College of Agriculture,ORG,4688
7181,Ghasiram Diwakar,PERSON,3644
7182,Nepanagar,GPE,13467
7183,Yogendra Yavatikar,PERSON,4229
7184,K Nikhila,PERSON,18149
7185,Kanwar Daman Singh,PERSON,4688
7186,Ashok Kamble,PERSON,15549
7187,Rajiv Ranjan,DIR,10780
7188,the Sikh Forum,ORG,4688
7189,N K Bindu,PERSON,11194
7190,Venkatesh,POL,2763
7191,Nareshbhai Shingala,PERSON,12381
7192,Kalla,PERSON,8841
7193,Narendra) Modi,POL,18149
7194,Sharma,PERSON,4688
7195,BHU,ORG,13467
7196,Khalistan,ORG,4688
7197,Magadh,GPE,10780
7198,Vasantrao Naik Shetkari Swavalamban Mission,ORG,15549
7199,Bhanu Pratap Singh,POL,3644
7200,E Revati,PERSON,215
7201,Inam Mathur,GPE,215
7202,SC Mishra,PERSON,3644
7203,Prasun Banerjee,POL,1561
7204,Ambani,PERSON,4688
7205,Amarin,PERSON,4688
7206,CII,ORG,12381
7207,Neyyar,GPE,1341
7208,Sirikonda village,GPE,10780
7209,TIRUPATI,PERSON,6619
7210,Neivasal,GPE,215
7211,Chavda,PERSON,12381
7212,K N Easwarmoorthi,PERSON,215
7213,co,ORG,4688
7214,Keelavalavu,GPE,215
7215,Facebook,ORG,15549
7216,Saraberia,GPE,1561
7217,Una,GPE,12381
7218,K Prabakar,POL,215
7219,Joya,GPE,3644
7220,Steven Alvares,PERSON,15549
7221,Markfed,ORG,937
7222,S Gubendiran,PERSON,2118
7223,Rupesh Morey,PERSON,15549
7224,Punjab Grains Procurement Corporation Ltd,ORG,937
7225,Paurkhas,GPE,3644
7226,Kandavayal,GPE,215
7227,Kashmira Singh,POL,4688
7228,G Narasimha,PERSON,18149
7229,Maha Vikas Aghadi,ORG,15549
7230,the agriculture department ’s,ORG,4688
7231,Khaser Bheri,GPE,1561
7232,Greater,ORG,8841
7233,Jyoti Barar,PERSON,4688
7234,College of Arts and Sciences,ORG,3160
7235,Panjabrao Deshmukh Krishi Vidyapeeth,ORG,15549
7236,Assocham,ORG,6266
7237,Jasjit Kaur,PERSON,3644
7238,the Nationalist Congress Party,ORG,15549
7239,Kittuchami,PERSON,11194
7240,Sami Natarajan,PERSON,215
7241,Aarti,DIR,12381
7242,", K Srinivasan",PERSON,215
7243,Behror,GPE,8841
7244,Kaleswaram,GPE,18149
7245,ISAE,ORG,1527
7246,Indira Gandhi,POL,4688
7247,Savarkundala,GPE,12381
7248,Ramesh Mandalik,PERSON,15549
7249,Sandhu,PERSON,3644
7250,Khopade,PERSON,15549
7251,Jugpura,GPE,3644
7252,Musharraf Ali Faruqui,PERSON,18149
7253,Mulgao,GPE,3160
7254,the Enforcement Directorate’s,ORG,15549
7255,Umraya village,GPE,3644
7256,Ajay Kumar Lallu,PERSON,3644
7257,Shikhar Tiraha,GPE,3644
7258,Deobali,PERSON,3644
7259,Vijay Bahadur Singh,POL,3644
7260,Bharwad,PERSON,12381
7261,Bhagaram,PERSON,8841
7262,G Triveni,PERSON,2763
7263,Sahib,PERSON,4688
7264,Kharak Poonia,GPE,3644
7265,Isora village,GPE,12381
7266,Thekkampatti M Pappammal,GPE,215
7267,Satnam Singh Pannu,PERSON,4688
7268,South Corporation,ORG,15549
7269,Vegetables Growers Association of India,ORG,15549
7270,Masani Barrage,GPE,4688
7271,Herwad,GPE,15549
7272,Soyam Babu Rao,PERSON,18149
7273,Lakshman,DIR,12381
7274,Paramjit,PERSON,19072
7275,Agra Public Carrier Association C,ORG,3644
7276,Mahindra Finance,ORG,4229
7277,Sodhakor village,GPE,8841
7278,GUNTUR,GPE,1527
7279,Jagrut Ad,ORG,13467
7280,Jivte,PERSON,15549
7281,Kharsawan,GPE,10780
7282,PAMETI,ORG,4688
7283,Navtejpal Singh,PERSON,3644
7284,Krishi Bhavan,GPE,2763
7285,Kishore Reddy B,PERSON,6619
7286,Palwan,GPE,4688
7287,Simranjeet Kaur,PERSON,937
7288,Mansukh Lagariya,PERSON,12381
7289,Narmetta,GPE,18149
7290,Simplex Infrastructures Ltd,ORG,15549
7291,Bhushan,PERSON,1527
7292,G Harish,PERSON,3644
7293,V Kalaichezhiyan,PERSON,215
7294,Lambi,GPE,4688
7295,e-National Agriculture Market,ORG,2763
7296,Nipani,GPE,15549
7297,Yadadri-Bhuvanagiri,GPE,18149
7298,Singapore,GPE,6266
7299,Shahjahapur,GPE,8841
7300,Shihore,GPE,12381
7301,Parvathagiri mandal,GPE,18149
7302,Pampa,GPE,11194
7303,Sanjeev Bhaskar,PERSON,18149
7304,Satyendra,PERSON,8841
7305,Bhendi Bazaar,GPE,15549
7306,meanwhil,GPE,215
7307,Mohammed Sakir,PERSON,3644
7308,V Manian,PERSON,215
7309,Sunil Bukane,PERSON,15549
7310,Coal,ORG,1561
7311,UAPA,ORG,4688
7312,Sri Patibandla Sitaramaiah High School,ORG,1527
7313,Samastipur,GPE,10780
7314,Kanota,GPE,1341
7315,Sangavada village,GPE,12381
7316,M A Mori,PERSON,12381
7317,Sheetal Singh,PERSON,3644
7318,Bhutani,PERSON,4688
7319,Ram Avatar,DIR,19072
7320,Mission,ORG,6619
7321,Bulo Mandal,PERSON,10780
7322,anti-Punjab,ORG,4688
7323,SV Raju,PERSON,4688
7324,Smart Cities Mission,ORG,3003
7325,Julana,GPE,4688
7326,Primary Cooperative Land Development Banks,ORG,8841
7327,Ummenthala Mutha Reddy,PERSON,18149
7328,the Bombay High Court,ORG,15549
7329,Suraj Mal,DIR,3644
7330,Bhoi Foundation,ORG,15549
7331,Renuka,PERSON,12381
7332,S Vijayadharani,PERSON,215
7333,Vikal Pachar,PERSON,4688
7334,Narayan Komarpant,PERSON,3160
7335,Rohit Trading Company,ORG,692
7336,BR Ambedkar,PERSON,3644
7337,GPCC,ORG,3160
7338,Parminder Singh,DIR,1341
7339,CLP,ORG,18149
7340,N S P Vetri,PERSON,215
7341,Sundarpur Barja,GPE,3644
7342,KURUKSHETRA,GPE,4688
7343,Hirebagewadi,GPE,2763
7344,NCPchief,ORG,15549
7345,Chopra,PERSON,4688
7346,Bamanasar,GPE,12381
7347,Phulambri tehsil,GPE,8841
7348,UP Police ’s,ORG,3644
7349,Tiruvanmiyur,GPE,215
7350,the Indian Engineering Services,ORG,12381
7351,Bandu Patil,PERSON,15549
7352,Siddaramaiah,POL,2763
7353,Ilayangudi,GPE,215
7354,the ‘Kisan Andolan Committee Ghazipur,ORG,3644
7355,Mamata Banerjee’s,POL,1561
7356,Susanto Mukherjee,DIR,10780
7357,Revanth Revanth,PERSON,18149
7358,Slu,PERSON,3160
7359,Goa Bhagayatdar,GPE,3160
7360,Pareva Vaishya,GPE,3644
7361,KENDRAPADA,GPE,288
7362,Sikh Forum,ORG,4688
7363,Surendra Lamba,PERSON,1341
7364,Baja,PERSON,4688
7365,Shekhawat,GPE,4688
7366,The Economic Survey,ORG,10780
7367,ISARC,ORG,1985
7368,Mazdoor Kisan Shakti Sangathan,ORG,8841
7369,Akhara,GPE,1341
7370,Bandora,GPE,3160
7371,Chhabra,GPE,4688
7372,Banwari Lal,DIR,4688
7373,Vinayak Patil,PERSON,15549
7374,Muttukadu,GPE,215
7375,Mirzamurad,GPE,3644
7376,The Lok Sabha,ORG,4688
7377,Federation of Seed Industry of India,ORG,1561
7378,Punjab Congress’s,ORG,4688
7379,R Srinivasa Rao,PERSON,6619
7380,@BJP4India,ORG,4688
7381,Rashtriya Kisan Mahasangh a,ORG,4688
7382,Jasmeen Kaur,DIR,4688
7383,the Knitwear Club,ORG,4688
7384,Nangla Bujurg,GPE,15658
7385,Tulio D’Souza,PERSON,3160
7386,Bhoj Raj,PERSON,3644
7387,Bhikhapur,GPE,3644
7388,Sonia ji,PERSON,4688
7389,Gurudas Majhik,PERSON,3160
7390,Erode,PERSON,215
7391,Balaraju,PERSON,18149
7392,Jasdeep Singh,DIR,937
7393,Purandar taluka,GPE,2056
7394,Tafcorn,ORG,1341
7395,Ballam Singh,PERSON,12258
7396,Pazhavaru Ayakattar Association,ORG,215
7397,KRRS,ORG,2763
7398,Prant Karyawah,PERSON,3644
7399,Dipak Nakrani,PERSON,12381
7400,the Maharashtra Metro Rail Corporation,ORG,15549
7401,Kisan Mahasabha,ORG,10780
7402,Arimalam,GPE,215
7403,Gayatri Parivar,ORG,10780
7404,Mina Sidam,PERSON,569
7405,National Centre For Aquatic Animal Health,ORG,11194
7406,9497713883,ORG,11194
7407,Wayanad,GPE,11194
7408,Vashi APMC,ORG,15549
7409,Talwandi Sabo,GPE,4688
7410,Nilesh Pandya,PERSON,12381
7411,Bassi,GPE,8841
7412,SSNL,ORG,12381
7413,Adajan,GPE,15549
7414,Banke Dayal,PERSON,3644
7415,Hemant Nagrale,PERSON,15549
7416,Ambalappuzha,GPE,11194
7417,Barosara,GPE,10780
7418,Sharad Joshi,PERSON,15549
7419,Mohan Bhatia,PERSON,12381
7420,Meghraj taluka,GPE,12381
7421,Agriculture department,ORG,18149
7422,Kadegaon tehsil,GPE,15549
7423,Dharani,GPE,18149
7424,IOB,ORG,215
7425,Delhi-NCR,GPE,4688
7426,Ansals Aravali Retreat,ORG,6619
7427,Hasmukh Adhia,PERSON,12381
7428,Sambit Patra,DIR,4688
7429,Sakchi Gurdwara,GPE,10780
7430,Dhananjay Patil,PERSON,15549
7431,Superb Hygienic Disposals,ORG,15549
7432,Outfit,ORG,4688
7433,Dhananjay Bhusari,PERSON,15549
7434,Viramgam,GPE,12381
7435,Ajab Singh,PERSON,3644
7436,the Lutyens’ Zone,GPE,4688
7437,J Santano Rodrigues,PERSON,3160
7438,Rajesh Kumar Bharatiya,DIR,8841
7439,Gurveer Singh,PERSON,4688
7440,Sikander Singh Maluka,PERSON,4688
7441,Assam Agricult,ORG,15549
7442,Kabutarwala,PERSON,19072
7443,Suresh Kumar Bansal,DIR,4688
7444,CRRID,ORG,4688
7445,Shambhu,GPE,4688
7446,Budhlada,GPE,4688
7447,Thanesar Sadar,GPE,4688
7448,Rameshchandra Lahoti,PERSON,2763
7449,Brijlal Tiwari,PERSON,13467
7450,GSDP,ORG,11640
7451,Harish Rao,PERSON,18149
7452,Vijay Sardessai,PERSON,3160
7453,HPCC,ORG,4688
7454,Narendra Modi ’s,PERSON,1561
7455,Malout town,GPE,4688
7456,Sheelwant Nandedkar,PERSON,15549
7457,Bagmati,GPE,10780
7458,Nehtaur,GPE,3644
7459,Kararwala village,GPE,4688
7460,UP Kisan Congress,ORG,3644
7461,Suresh Kumar,POL,8841
7462,Krishi Avam Paristhitiki Vikas Sansthan,PERSON,6266
7463,Uttarkashi,GPE,6266
7464,Bailahongal,GPE,3644
7465,BKU Krantikar Punjab,ORG,4688
7466,Bhartiya Sikh Sangthan,ORG,3644
7467,SeMT,ORG,4688
7468,Bapatla Agriculture College,ORG,1527
7469,Mahindra Tractors,ORG,15549
7470,ADM,ORG,3644
7471,Panag,PERSON,4688
7472,Datiyana village,GPE,937
7473,Kalamna Market,GPE,15549
7474,Mehdiganj,GPE,4688
7475,Shekhar Singh,DIR,15549
7476,Jennifer Doudna,PERSON,6266
7477,M S University’s,ORG,12381
7478,Navreet Kaur,DIR,3644
7479,Ramesh Barad,PERSON,12381
7480,TN,ORG,215
7481,Deepu Verma,DIR,3644
7482,Faitah Singh Banjara,PERSON,8841
7483,Ekta Sidhupur,GPE,4688
7484,Janakraj,PERSON,3644
7485,Mangudi,GPE,215
7486,DAV Boys Senior Secondary School,ORG,215
7487,Kadaura,GPE,3644
7488,Mahendergarh,PERSON,4688
7489,Kiran Maheshwari,POL,8841
7490,Oommen Chandy,POL,11194
7491,Basu,PERSON,1561
7492,Modiji,PERSON,4688
7493,the Mitesh Dabhi,PERSON,12381
7494,Alla Ramakrishna Reddy,PERSON,6619
7495,Maharashtra Knowledge Corporation Limited,ORG,15549
7496,Jaganpur,GPE,1527
7497,Gajendra Kumar Singh,DIR,8841
7498,MMM,ORG,3644
7499,Hinjewali,GPE,15549
7500,Sadar,GPE,10780
7501,Lakshmanan,PERSON,15549
7502,the Agriculture Market Infrastructure Fund,ORG,4688
7503,Padmakar Ghanwat,PERSON,15549
7504,Barwala,GPE,4688
7505,Daivajna,ORG,6619
7506,Andhra,GPE,10780
7507,Goa Bagaidar,PERSON,3160
7508,Capt Amarinder,PERSON,4688
7509,Takha,GPE,4688
7510,Modalapalli village,GPE,6619
7511,MHA,ORG,4688
7512,Neeraj Rai,DIR,1561
7513,Bhakodar,GPE,12381
7514,Vinod Goyal,PERSON,4688
7515,Dichpally,GPE,18149
7516,Sirsa Bandh,PERSON,4688
7517,Keeladi,GPE,3644
7518,H D Deve Gowda,PERSON,15549
7519,BKU Ugrahan,PERSON,4688
7520,Greg Fernandes,PERSON,3160
7521,Dana Kungasia,PERSON,12381
7522,Jarod,GPE,12381
7523,National Horticulture Mission,ORG,215
7524,Lalu Prasad,PERSON,10780
7525,Subhash Sahu,PERSON,8841
7526,Ashok Yadav,POL,12381
7527,M Chalama Rao,PERSON,6619
7528,Sandra Fernandes,PERSON,6266
7529,Nala Maharaju,PERSON,6619
7530,the Tamil Nadu Vivasayigal Sangams,ORG,215
7531,H D Kote,GPE,2763
7532,AI,PERSON,4688
7533,CT Ravi,PERSON,4688
7534,The agriculture department,ORG,6619
7535,Ammapettai,GPE,215
7536,Shaha,PERSON,2763
7537,Sirumugai,GPE,215
7538,Adra,GPE,10780
7539,Mananchira,GPE,3003
7540,Mahesh Tenginakai,PERSON,15549
7541,Change.org,ORG,6266
7542,Maninderjit Singh Bawa Machhian,PERSON,4688
7543,K Madhu,PERSON,6266
7544,Bangalore,GPE,6266
7545,Bhatia,GPE,12381
7546,Ballarpur,GPE,15549
7547,Escorts,ORG,15549
7548,Grassroots Organic,ORG,12693
7549,Bomma Yellaiah,PERSON,18149
7550,Neminath Heights,GPE,7550
7551,Dheerpura,GPE,10780
7552,Randhir Chaurasia,PERSON,10780
7553,G Kanagasabapathy,PERSON,215
7554,Khodubhai,PERSON,12381
7555,Om Prakash Chautala,POL,4688
7556,Chandimandir,GPE,4688
7557,Marcaim,PERSON,3160
7558,Consortium of Indian Farmers Associations,ORG,4688
7559,the Bharat Petroleum Corporation Limited,ORG,215
7560,Prithvirajkumar,PERSON,215
7561,Atchampet,GPE,6619
7562,FICCI Telangana State Executive Committee,ORG,18149
7563,Munnar DFO,ORG,3644
7564,Shaun Ghuge,PERSON,18149
7565,Nilesh Veera,PERSON,15549
7566,Birender,PERSON,4688
7567,Madan Pal,PERSON,3644
7568,Luni,GPE,8841
7569,Chander Mohan,PERSON,3644
7570,the Sultanpur Patti,GPE,3644
7571,Narasipuram,GPE,215
7572,Sujalam-Sufalam,ORG,12381
7573,Sarojininagar,GPE,3644
7574,Ramegowda,PERSON,7574
7575,Arvinder,PERSON,6266
7576,Dadri,GPE,4688
7577,Medak,GPE,18149
7578,Digras,GPE,4229
7579,Ashutosh Agnihotri,PERSON,215
7580,Jadhavmandi,GPE,15549
7581,PGVCL,ORG,12381
7582,Brahmagiri,GPE,2763
7583,Bamrauli Katara,GPE,4688
7584,HAU,ORG,6266
7585,Maradi Jambayya Nayak,PERSON,2763
7586,Leicester,GPE,6266
7587,F Suresh,PERSON,215
7588,Jaivir,PERSON,19072
7589,Rajpoot,PERSON,3644
7590,Kalliyoor,GPE,2763
7591,Jag Narayan Singh,PERSON,8841
7592,Pramod Kadam,PERSON,2763
7593,Ramesh Kumar,PERSON,3644
7594,DUSSS,ORG,15549
7595,the Rythu Bharosa Kendras,ORG,6619
7596,FCI Bachao Divas,ORG,4688
7597,B Karpagam,PERSON,215
7598,Salem Municipal Corporation,ORG,15549
7599,N Tukaramji,PERSON,18149
7600,M S Kumar,PERSON,215
7601,Mahindra Park,GPE,4688
7602,Pralhad Joshi,POL,2763
7603,Rajiv Singh,DIR,10780
7604,Sachin Suroshe,PERSON,15549
7605,Vishwas Chougale,PERSON,15549
7606,Upkar Singh Ahuja,PERSON,4688
7607,Birsa,PERSON,10780
7608,Aharya Devvrat,PERSON,12381
7609,Sharda,PERSON,6266
7610,Mata Rani Chowk,GPE,3644
7611,Gadot,PERSON,6266
7612,Sabour,GPE,10780
7613,James George,PERSON,11194
7614,Virnagar village,GPE,12381
7615,Jasbir Gill,PERSON,6266
7616,South Haryana’s,GPE,4688
7617,Baldev Singh Sandoha,PERSON,4688
7618,Aaskandra,GPE,8841
7619,Tennur Anna Nagar,GPE,215
7620,T Balamurugan,POL,215
7621,Saat Nischai,PERSON,10780
7622,Venmani,GPE,11194
7623,Pitambar Molpha,PERSON,3644
7624,Hawa Singh,POL,4688
7625,Laltu,PERSON,3644
7626,Naresh Kumar,PERSON,10780
7627,Nuzivid,GPE,6619
7628,Siddiqui,PERSON,18149
7629,Bridesh Rajbhar,PERSON,10780
7630,Rajhat village,GPE,10780
7631,Ayub Yusuf Safiya,PERSON,12381
7632,Vadgaon Maval,GPE,15549
7633,Thiyagarajan,DIR,215
7634,Ubale,PERSON,4229
7635,Rajesh Pilot,PERSON,4688
7636,Haveri district,GPE,2763
7637,Chandra,PERSON,18149
7638,DCP,ORG,4688
7639,Yadvinder Singh,PERSON,4688
7640,Rajeev,PERSON,4688
7641,Periyanaickenpalayam,GPE,215
7642,Kotgul,GPE,15549
7643,Sk Basha,PERSON,9004
7644,Paralakhemundi,GPE,3644
7645,Chanchal Bhattacharya,PERSON,10780
7646,The Tamil Nadu Vivasaigal Sangam,ORG,215
7647,the Enforcement Directorate,ORG,4688
7648,Podanur,GPE,215
7649,Chetan Nimkar,PERSON,15549
7650,G P S Kingra,PERSON,4688
7651,Maharshi Valmiki,PERSON,13467
7652,SRIGANGANGAGAR,GPE,8841
7653,Kurar,GPE,4688
7654,Safiabad,GPE,4688
7655,the Farmers Welfare Fund,ORG,8841
7656,AP Pollution Control Board,ORG,6619
7657,Waghala village,GPE,15549
7658,Sameli,GPE,215
7659,Saskatchewan,GPE,6266
7660,the state agriculture department,ORG,15549
7661,Ludhiana,PERSON,4688
7662,Sunkara,PERSON,7662
7663,The State Bank of India,ORG,12381
7664,arthiyas,ORG,4688
7665,Kalpana Wadhai,PERSON,15549
7666,Talakadu,GPE,2763
7667,TATA,ORG,15549
7668,Surendra Kumrawat,PERSON,13467
7669,G S Kocher,PERSON,13467
7670,Kaka,PERSON,1341
7671,Sikandar Shaha,PERSON,10780
7672,dairy development department,ORG,215
7673,Pratap,PERSON,12381
7674,Karnataka State Natural Disaster Monitoring Centre,ORG,2763
7675,Pudukkottai,GPE,215
7676,Gaurichak,GPE,10780
7677,Shampara,PERSON,12381
7678,Malladi Vishnu,PERSON,6619
7679,Sree Sankaracharya University of Sanskrit,ORG,6266
7680,Bihar Agricultural University,ORG,10780
7681,RKS,ORG,3644
7682,M Semmaran,PERSON,3644
7683,Virpur,GPE,12381
7684,Satya Pal Malik,PERSON,4688
7685,Cotigao,GPE,3160
7686,Deshmukh Shekhar Sanjay,PERSON,215
7687,MCF,ORG,3003
7688,Nilokheri,GPE,4688
7689,Gulem,GPE,3160
7690,DRC,ORG,6619
7691,Kawdhuji,PERSON,15549
7692,Kranti Chowk,GPE,15549
7693,Ajay Chaudhary,DIR,4688
7694,Tarn Taran,GPE,4688
7695,Byagari Narasimhulu,PERSON,18149
7696,Mathura,GPE,3644
7697,Sunam Udham Singh Wala,GPE,4688
7698,the state agriculture marketing board,ORG,15549
7699,Ajit Navle,PERSON,15549
7700,Buddha,PERSON,3644
7701,Bibipur,GPE,4688
7702,Jammula Venkayamma,PERSON,6619
7703,SINDRI,GPE,10780
7704,UAE,GPE,6266
7705,Faradi village,GPE,12381
7706,Taranjeet Singh Bhamra,PERSON,18149
7707,Sanyukt Kisan Morcha’s,ORG,4688
7708,Raja Verma,PERSON,3644
7709,Lal Bahadur Shastri,POL,3644
7710,Thottumariiyil,PERSON,11194
7711,Valaiyapalayam,GPE,215
7712,Barani Khalsa,GPE,937
7713,Passersby,PERSON,937
7714,MB Patil,PERSON,15549
7715,the Rashtriya Swayamsevak Sangh,ORG,10780
7716,Jitendra Phadte,PERSON,3160
7717,Sira,GPE,2763
7718,Naushad Alam,POL,10780
7719,Kulcharam,GPE,18149
7720,Bharat R Char,PERSON,15549
7721,Panjab University,ORG,4688
7722,Mattuthavani,GPE,215
7723,Sanju Turaha,PERSON,3644
7724,the National Research Center for Banana (,ORG,215
7725,Jayathi Ghosh,ORG,18149
7726,Manitha Valar Sangam,GPE,215
7727,LU,ORG,937
7728,Mukkudal,GPE,215
7729,Yugank Jain,PERSON,15549
7730,Nagri,GPE,10780
7731,Uzhavar Santhai,GPE,215
7732,Vaghasiya,PERSON,12381
7733,the CM Relief Fund,ORG,3644
7734,Zinia,ORG,15549
7735,Mukesh Meshram,PERSON,3644
7736,Parikshit Malik,PERSON,4688
7737,Sridhar,DIR,3644
7738,E Chandrasekharan,DIR,11194
7739,Deepak Prakash,DIR,10780
7740,Sudhanshu Trivedi,PERSON,4688
7741,Thaneer,ORG,215
7742,Anil Deep Mahal,PERSON,3644
7743,Faizan,PERSON,215
7744,Bawal Khap Panchayat,ORG,8841
7745,Anay Marathe,PERSON,15549
7746,Bella,PERSON,6266
7747,Chidambaram,PERSON,215
7748,Rawat,PERSON,3644
7749,Pinky Taneja,PERSON,8841
7750,Veppanahalli,GPE,215
7751,Shankar Nayka,PERSON,12381
7752,Jam Awais,PERSON,564
7753,Yogesh Prajapati,PERSON,12381
7754,Botre,PERSON,3644
7755,Kamaljeet Singh,DIR,4688
7756,Wasim,PERSON,3644
7757,the Solar Energy Corporation,ORG,6619
7758,Adarsh Agro Producer Company,ORG,3644
7759,Jairam Choudhary,DIR,8841
7760,Aarshan,PERSON,2763
7761,Shiv Narayan,POL,10780
7762,Mahila Morcha,ORG,10780
7763,Partha Chatterjee,DIR,1561
7764,Timbi,GPE,12381
7765,Moorthy,PERSON,215
7766,AAG,ORG,8841
7767,Manvendra Singh Teotia,PERSON,3644
7768,non-BJP,ORG,15549
7769,Thiruneelakandan,PERSON,215
